id|name|district_id
295|Cempaga|23
296|Dencarik|23
297|Gesing|23
298|Banyusri|23
299|Banyuatis|23
300|Banjar|23
301|Banjar Tegeha|23
302|Tukadmungga|24
303|Petandakan|24
304|Poh Bergong|24
305|Sari Mekar|24
306|Penarukan|24
307|Penglatan|24
308|Liligundi|24
309|Nagasepaha|24
310|Pemaron|24
311|Jinengdalem|24
312|Kalibukbuk|24
313|Beratan|24
314|Bhakti Seraga (Baktiseraga)|24
315|Alasangker|24
316|Anturan|24
317|Banyuning|24
318|Banjar Tegal|24
319|Paket Agung|24
320|Banyuasri|24
321|Kaliuntu|24
322|Kampung Anyar|24
323|Kampung Bugis|24
324|Kampung Baru|24
325|Kampung Kajanan|24
326|Banjar Bali|24
327|Banjar Jawa|24
328|Astina|24
329|Kendran|24
330|Kampung Singaraja|24
331|Sengkidu|25
332|Tenganan|25
333|Ulakan|25
334|Padangbai|25
335|Pesedahan|25
336|Selumbung|25
337|Manggis|25
338|Ngis|25
339|Nyuh Tebel|25
340|Antiga Kelod|25
341|Gegelang|25
342|Wisma Kerta|26
343|Antiga|25
344|Telaga Tawang|26
345|Tri Eka Buana|26
346|Tangkup|26
347|Sindu Wati|26
348|Talibeng|26
349|Sangkan Gunung|26
350|Sidemen|26
351|Lokasari|26
352|Rendang|27
353|Kertha Buana|26
354|Pempatan|27
355|Pesaban|27
356|Menanga|27
357|Nongan|27
358|Selat|28
359|Besakih|27
360|Pering Sari|28
361|Sebudi|28
362|Muncan|28
363|Duda Timur|28
364|Duda Utara|28
365|Amerta Bhuana|28
366|Duda|28
367|Macang|29
368|Sibetan|29
369|Bungaya Kangin|29
370|Jungutan|29
371|Budakeling (Bude Keling)|29
372|Bungaya (Bungaya Kauh)|29
373|Bebandem|29
374|Buana Giri|29
375|Tianyar Timur|30
376|Tulamben|30
377|Tianyar Barat|30
378|Tianyar Tengah|30
379|Sukadana|30
380|Dukuh|30
381|Kubu|30
382|Ban|30
383|Batu Ringgit|30
384|Tiyingtali|31
385|Tri Buana|31
386|Tista|31
387|Nawakerti|31
388|Pidpid|31
389|Purwakerti|31
390|Kesimpar|31
391|Laba Sari|31
392|Datah|31
393|Kerta Mandala|31
394|Culik|31
395|Ababi|31
396|Abang|31
397|Bunutan|31
398|Subagan|32
399|Tegallinggah|32
400|Tumbu|32
401|Seraya Tengah|32
402|Seraya Timur|32
403|Pertima|32
404|Seraya Barat|32
405|Karangasem|32
406|Padang Kerta|32
407|Bugbug|32
408|Bukit|32
409|Suana|33
410|Tanglad|33
411|Sekartaji|33
412|Sakti|33
413|Ped|33
414|Pejukutan|33
415|Lembongan|33
416|Kutampi Kaler|33
417|Klumpu|33
418|Kutampi|33
419|Kampung Toyapakeh|33
420|Jungutbatu|33
421|Batununggul|33
422|Bunga Mekar|33
423|Batukandik|33
424|Batumadeg|33
425|Sampalan Tengah|34
426|Sulang|34
427|Sampalan Klod|34
428|Pikat|34
429|Pesinggahan|34
430|Kusamba|34
431|Paksebali|34
432|Kampung Kusamba|34
433|Gunaksa|34
434|Dawan Klod|34
435|Besan|34
436|Dawan Kaler|34
437|Tohpati|35
438|Tusan|35
439|Timuhun|35
440|Takmung|35
441|Tihingan|35
442|Nyanglan|35
443|Nyalian|35
444|Negari|35
445|Getakan|35
446|Bungbungan|35
447|Bakas|35
448|Banjarangkan|35
449|Aan|35
450|Tegak|36
451|Tojan|36
452|Semarapura Klod/Kelod|36
453|Tangkas|36
454|Semarapura Kangin|36
455|Semarapura Klod Kangin|36
456|Selat|36
457|Selisihan|36
458|Satra|36
459|Kampung Gelgel|36
460|Manduang|36
461|Jumpai|36
462|Kamasan|36
463|Akah|36
464|Gelgel|36
465|Semarapura Kaja|36
466|Semarapura Kauh|36
467|Semarapura Tengah|36
468|Undisan|37
469|Yangapi|37
470|Peninjoan|37
471|Tembuku|37
472|Bangbang|37
473|Jehem|37
474|Tiga|38
475|Sulahan|38
476|Susut|38
477|Pengiangan|38
478|Penglumbaran|38
479|Selat|38
480|Apuan|38
481|Demulih|38
482|Abuan|38
483|Suter|39
484|Terunyan|39
485|Ulian|39
486|Songan B|39
487|Subaya|39
488|Sukawana|39
489|Siyakin|39
490|Songan A|39
491|Serahi|39
492|Sekardadi|39
493|Selulung|39
494|Sekaan|39
495|Pinggan|39
496|Satra|39
497|Manikliyu|39
498|Mengani|39
499|Pengejaran|39
500|Langgahan|39
501|Lembean|39
502|Mangguh|39
503|Kintamani|39
504|Kutuh|39
505|Kedisan|39
506|Katung|39
507|Gunungbau|39
508|Daup|39
509|Dausa|39
510|Bunutin|39
511|Catur|39
512|Binyan|39
513|Bonyoh|39
514|Buahan|39
515|Belanga|39
516|Belantih|39
517|Belancan|39
518|Belandingan|39
519|Bayungcerik|39
520|Bayunggede|39
521|Batur Tengah|39
522|Batur Utara|39
523|Batur Selatan|39
524|Batu Dinding|39
525|Batukaang|39
526|Bantang|39
527|Banua|39
528|Abuan|39
529|Awan|39
530|Abang Songan|39
531|Pengotan|40
532|Taman Bali|40
533|Bebalang|40
534|Bunutin|40
535|Kayubihi|40
536|Kawan|40
537|Landih|40
538|Cempaga|40
539|Kubu|40
540|Singapadu Kaler|41
541|Singapadu Tengah|41
542|Sukawati|41
543|Ketewel|41
544|Singapadu|41
545|Guwang|41
546|Kemenuh|41
547|Celuk|41
548|Batubulan|41
549|Batubulan Kangin|41
550|Batuan|41
551|Batuan Kaler|41
552|Pering|42
553|Saba|42
554|Medahan|42
555|Keramas|42
556|Bona|42
557|Buruan|42
558|Belega|42
559|Blahbatuh|42
560|Bedulu|42
561|Melinggih Kelod|43
562|Puhu|43
563|Kelusa|43
564|Kerta|43
565|Melinggih|43
566|Buahan Kaja|43
567|Bukian|43
568|Bresela (Beresela)|43
569|Buahan|43
570|Ubud|44
571|Singakerta (Singekerta)|44
572|Petulu|44
573|Sayan|44
574|Mas|44
575|Peliatan|44
576|Kedewatan|44
577|Lodtunduh|44
578|Taro|45
579|Tegallalang|45
580|Kenderan|45
581|Pupuan|45
582|Sebatu|45
583|Kedisan|45
584|Keliki|45
585|Sanding|46
586|Tampaksiring|46
587|Pejeng Kangin|46
588|Pejeng Kawan|46
589|Pejeng Klod (Kelod)|46
590|Pejeng|46
591|Pejeng Kaja|46
592|Manukaya|46
593|Tegal Tugu|47
594|Temesi|47
595|Tulikup|47
596|Sumita|47
597|Suwat|47
598|Siangan|47
599|Sidan|47
600|Petak Kaja|47
601|Serongga|47
602|Petak|47
603|Lebih|47
604|Bakbakan|47
605|Bitera|47
606|Beng|47
607|Abianbase|47
608|Gianyar|47
609|Samplangan|47
610|Ungasan|48
611|Tuban|49
612|Tibubeneng|50
613|Tanjung Benoa|48
615|Seminyak|49
616|Pecatu|48
618|Kutuh|48
619|Kerobokan Kelod|50
620|Kerobokan|50
621|Kerobokan Kaja|50
623|Jimbaran|48
624|Canggu|50
625|Dalung|50
626|Sulangai|51
627|Benoa|48
628|Pelaga|51
629|Petang|51
630|Carangsari|51
631|Getasan|51
632|Pangsan|51
633|Belok|51
634|Taman|52
635|Sibang Kaja|52
636|Selat|52
637|Sibang Gede|52
638|Punggul|52
639|Sangeh|52
640|Sedang|52
641|Mambal|52
642|Mekar Bhuwana|52
643|Dauh Yeh Cani|52
644|Jagapati|52
645|Bongkasa|52
646|Bongkasa Pertiwi|52
647|Darmasaba|52
648|Ayunan|52
649|Blahkiuh|52
650|Angantaka|52
651|Abiansemal|52
652|Tumbak Bayuh|53
653|Werdi Bhuwana|53
654|Sembung|53
655|Sempidi|53
656|Sobangan|53
657|Penarungan|53
658|Pererenan|53
659|Sading|53
660|Mengwitani|53
661|Munggu|53
662|Kuwum|53
663|Lukluk|53
664|Mengwi|53
665|Kapal|53
666|Kekeran|53
667|Gulingan|53
668|Baha|53
669|Buduk|53
670|Cemagi|53
671|Abianbase|53
672|Tonja|54
