id|name|city_id
298|Kaur Selatan|26
299|Semidang Gumai (Gumay)|26
300|Kinal|26
301|Muara Sahung|26
302|Luas|26
303|Kaur Tengah|26
304|Padang Guci Hilir|26
305|Lungkang Kule|26
306|Kelam Tengah|26
307|Kaur Utara|26
308|Padang Guci Hulu|26
309|Tanjung Kemuning|26
310|Talo Kecil|27
311|Ilir Talo|27
312|Ulu Talo|27
313|Seluma Timur|27
314|Seluma Utara|27
315|Seluma Barat|27
316|Lubuk Sandi|27
317|Air Periukan|27
318|Seluma Selatan|27
319|Sukaraja|27
320|Seluma|27
321|Semidang Alas Maras|27
322|Talo|27
323|Semidang Alas|27
324|Teras Terunjam|28
325|Penarik|28
326|Selagan Raya|28
327|Lubuk Pinang|28
328|Air Majunto|28
329|V Koto|28
330|Pondok Suguh|28
331|Teramang Jaya|28
332|Sungai Rumbai|28
333|XIV Koto|28
334|Kota Mukomuko (Mukomuko Utara)|28
335|Air Dikit|28
336|Ipuh (Muko-Muko Selatan)|28
337|Air Rami|28
338|Malin Deman|28
339|Padang Jaya|29
340|Batik Nau|29
341|Giri Mulia|29
342|Air Padang|29
343|Lais|29
344|Arga Makmur|29
345|Arma Jaya|29
346|Air Besi|29
347|Tanjung Agung Palik|29
348|Pino|30
349|Pinoraya|30
350|Air Nipis|30
351|Ulu Manna|30
352|Kedurang|30
353|Kedurang Ilir|30
354|Seginim|30
355|Pasar Manna|30
356|Kota Manna|30
357|Manna|30
358|Bunga Mas|30
359|Enggano|29
360|Merigi Kelindang|31
361|Taba Penanjung|31
362|Talang Empat|31
363|Karang Tinggi|31
364|Pagar Jati|31
365|Merigi Sakti|31
366|Pondok Kubang|31
367|Hulu Palik|29
368|Kerkap|29
369|Air Napal|29
370|Pematang Tiga|31
371|Bang Haji|31
372|Pondok Kelapa|31
373|Napal Putih|29
374|Ulok Kupai|29
375|Ketahun|29
376|Putri Hijau|29
377|Gading Cempaka|32
378|Ratu Agung|32
379|Singaran Pati|32
380|Ratu Samban|32
381|Selebar|32
382|Kampung Melayu|32
383|Muara Bangka Hulu|32
384|Sungai Serut|32
385|Teluk Segara|32
386|Semanu|33
387|Ponjong|33
388|Karangmojo|33
389|Girisubo|33
390|Rongkop|33
391|Tepus|33
392|Tanjungsari|33
393|Panggang|33
394|Purwosari|33
395|Paliyan|33
396|Sapto Sari|33
397|Gedang Sari|33
398|Patuk|33
399|Playen|33
400|Semin|33
401|Ngawen|33
402|Nglipar|33
403|Wonosari|33
404|Piyungan|34
405|Pleret|34
406|Dlingo|34
407|Imogiri|34
408|Jetis|34
409|Kretek|34
410|Pundong|34
411|Bambang Lipuro|34
412|Sanden|34
413|Srandakan|34
414|Pandak|34
415|Sedayu|34
416|Pajangan|34
417|Bantul|34
418|Girimulyo|35
419|Samigaluh|35
420|Kalibawang|35
421|Nanggulan|35
422|Sentolo|35
423|Lendah|35
424|Galur|35
425|Panjatan|35
426|Temon|35
427|Kokap|35
428|Pengasih|35
429|Wates|35
430|Gamping|36
431|Ngemplak|36
432|Cangkringan|36
433|Pakem|36
434|Ngaglik|36
435|Berbah|36
436|Prambanan|36
437|Kalasan|36
438|Moyudan|36
439|Minggir|36
440|Seyegan|36
441|Tempel|36
442|Turi|36
443|Sleman|36
444|Mlati|36
